list_id,count
2,10181
224,4449
10,2091
3,1907
7,1449
4,1093
1,1066
9,770
6,740
16,612
227,410
13,238
109,198
214,194
120,186
216,180
8,169
18,156
249,152
14,145
112,145
105,123
23,112
202,112
20,86
253,85
19,85
238,83
21,80
243,78
103,67
233,66
22,64
17,52
252,50
203,49
208,48
235,36
108,30
104,25
218,24
110,24
111,22
254,12
207,11
15,10
122,9
101,8
118,7
244,6
250,5
241,5
217,5
204,5
102,5
11,4
257,3
5,2
255,2
251,2
246,2
228,2
225,2
220,2
212,2
206,2
123,2
113,2
256,1
247,1
239,1
121,1
114,1
107,1
106,1
